"Flick Golf 3D","Full Fat","Full Fat","Unreleased","July 30, 2015","Unreleased","July 30, 2015",""
"Fluidity: Spin Cycle","Curve Studios","Nintendo","December 19, 2012","December 27, 2012","December 13, 2012","December 13, 2012",""
"Food Wars: The Dish of Friendship and Bonds","FuRyu","FuRyu","December 17, 2015","Unreleased","Unreleased","Unreleased",""
"Four Bombs","RCMADIAX","RCMADIAX","Unreleased","March 30, 2017","March 16, 2017","March 16, 2017",""
"Fossil Fighters: Frontier","Red EntertainmentSpike Chunsoft","Nintendo","February 27, 2014","March 20, 2015","May 30, 2015","May 29, 2015",""
"Fractured Soul","Endgame Studios","JP: CyberStepWW: Endgame Studios","March 27, 2013","September 13, 2012","January 10, 2013","January 10, 2013",""
"Freakyforms Deluxe: Your Creations, Alive!","Asobism","Nintendo","April 10, 2013","November 5, 2012","September 13, 2012","July 28, 2012",""
"Freakyforms: Your Creations, Alive!","Asobism","Nintendo","September 7, 2011","November 10, 2011","November 10, 2011","November 10, 2011",""
"Frogger 3D","Alpha Unit","Konami","September 22, 2011","September 20, 2011","Unreleased","November 8, 2011",""
"Frontier Days: Founding Pioneers","Arc System Works","JP: Arc System WorksWW: Circle Entertainment","December 16, 2015","March 9, 2017","Unreleased","March 16, 2017",""
"Frutakia 2","Crazysoft","Crazysoft","Unreleased","September 21, 2017","Unreleased","November 2, 2017",""
"Fujiko F. Fujio Characters Daishuugou! SF Dotabata Party!","Bandai Namco Games","Bandai Namco Games","November 20, 2014","Unreleased","Unreleased","Unreleased",""
"Funfair Party Games","Avanquest Software","Joindots","Unreleased","August 22, 2013","Unreleased","August 22, 2013",""
"Fun! Fun! Minigolf Touch","Shin'en Multimedia","JP: CyberfrontWW: Shin'en Multimedia","September 19, 2012","March 8, 2012","March 8, 2012","March 8, 2012",""
"Funky Barn 3D","Tantalus Interactive","Ubisoft","May 24, 2012","April 3, 2012","September 20, 2012","September 21, 2012",""
"Future Card Buddyfight: Mezase! Buddy Champion!","FuRyu","FuRyu","March 16, 2017","Unreleased","Unreleased","Unreleased",""
"Future Card Buddyfight: Tanjou! Oretachi no Saikyou Body!","FuRyu","FuRyu","March 15, 2018","Unreleased","Unreleased","Unreleased",""
"Futuridium EP Deluxe","MixedBag","MixedBagPlayism","Unreleased","September 8, 2016","Unreleased","September 15, 2016",""
"G1 Grand Prix","Genki","Genki","May 24, 2012","Unreleased","Unreleased","Unreleased",""
"Gabrielle's Ghostly Groove 3D","Funbox Media","JP: Santa EntertainmentWW: Natsume","July 21, 2011","October 4, 2011","October 4, 2013","March 2, 2012",""
"Gabrielle's Ghostly Groove Mini","Asgard","Natsume","Unreleased","June 27, 2013","Unreleased","Unreleased",""
"Gacha Racing","Genki","Genki","July 2, 2014","Unreleased","Unreleased","Unreleased",""
"Gaist Crusher","Treasure","Capcom","December 5, 2013","Unreleased","Unreleased","Unreleased",""
"Gaist Crusher God","Capcom","Capcom","September 4, 2014","Unreleased","Unreleased","Unreleased",""
"Galaxy Blaster","RCMADIAX","JP: CosenWW: RCMADIAX","May 10, 2017","December 8, 2016","December 8, 2016","December 8, 2016",""
"Galaxy Blaster Code Red","RCMADIAX","RCMADIAX","Unreleased","October 19, 2017","November 2, 2017","November 2, 2017",""
"The Game 15","Culture Brain Excel","Culture Brain Excel","April 26, 2017","Unreleased","Unreleased","Unreleased",""
"Games for Toddlers 2","Skunk Software","Skunk Software","Unreleased","June 7, 2018","Unreleased","Unreleased",""
"Gardening Mama 2: Forest Friends","Cooking Mama Limited","JP: Cooking Mama LimitedWW: Majesco Entertainment","September 26, 2013","April 29, 2014","March 7, 2015","March 6, 2015",""
"Gardenscapes","Joindots","JP: Arc System WorksWW: Joindots","September 3, 2014","December 13, 2012","Unreleased","June 22, 2012",""
"Garfield Kart","Most Wanted Entertainment","Humongous Entertainment","Unreleased","August 13, 2015","Unreleased","July 10, 2015",""
"Geki Yaba Runner Deluxe","QubicGames","QubicGames","Unreleased","December 22, 2016","Unreleased","December 22, 2016",""
"Gem Smashers","Frame Studios Interactive","Red Wagon Games","Unreleased","November 8, 2011","Unreleased","Unreleased",""
"Generator Rex: Agent of Providence","Virtuos","Activision","Unreleased","November 1, 2011","Unreleased","Unreleased",""
"Ginseiigo 3D","Silver Star","Silver Star","November 22, 2011","Unreleased","Unreleased","Unreleased",""
"Girls' Fashion Shoot","Alchemist","Rising Star Games","November 3, 2011","November 19, 2013","December 13, 2013","December 12, 2013",""
"Girls RPG: Cinderelife","Level-5","Level-5","March 8, 2012","Unreleased","Unreleased","Unreleased",""
"Glory of Generals","Circle Entertainment","Circle Entertainment","Unreleased","July 3, 2014","Unreleased","September 18, 2014",""
"Glory of Generals The Pacific","Circle Entertainment","Circle Entertainment","Unreleased","May 25, 2015","Unreleased","February 4, 2016",""
"Go! Go! Kokopolo 3D: Space Recipe for Disaster","Tanukii Studios","JP: StarsignWW: Circle Entertainment","October 11, 2017","February 23, 2017","Unreleased","March 30, 2017",""
"Gon: Baku Baku Baku Baku Adventure","Inti Creates","Bandai Namco Games","June 14, 2012","Unreleased","Unreleased","Unreleased",""
"Goosebumps: The Game","GameMill Entertainment","WayForward Technologies","Unreleased","October 13, 2015","Unreleased","January 21, 2016",""
"Gothic Masquerade","Teyon","Selectsoft","Unreleased","August 14, 2014","Unreleased","Unreleased",""
"Gotta Protectors","Ancient","Ancient","September 10, 2016","August 4, 2016","Unreleased","Unreleased",""
"Gourmet Dream","Arc System Works","Arc System Works","July 1, 2015","December 22, 2016","Unreleased","January 19, 2017",""
"Governor of Poker","Teyon","Teyon","April 30, 2014","April 10, 2014","Unreleased","April 10, 2014",""
"Gravity Falls: Legend of the Gnome Gemulets","Ubisoft Osaka","Ubisoft","Unreleased","October 20, 2015","October 22, 2015","October 23, 2015",""
"Green Lantern: Rise of the Manhunters","Griptonite Games","Warner Bros. Interactive Entertainment","Unreleased","June 7, 2011","June 29, 2011","June 10, 2011",""
"Grinsia","Nicalis","Nicalis","August 20, 2014","May 8, 2014","Unreleased","Unreleased",""
"Groove Heaven","Fun Unit","JP: Fun UnitWW: Teyon","December 19, 2012","May 23, 2013","Unreleased","May 23, 2013",""
"Guide the Ghost","RCMADIAX","RCMADIAX","Unreleased","September 21, 2017","September 21, 2017","September 21, 2017",""
"Gummy Bears Magical Medallion","Clockwork Games","Enjoy Gaming","Unreleased","May 2, 2013","Unreleased","October 24, 2013",""
"Gummy Bears Mini Golf","Clockwork Games","Enjoy Gaming","Unreleased","May 30, 2013","Unreleased","October 24, 2013",""
"Gundam: The 3D Battle","Bandai Visual","Bandai Namco Games","March 26, 2011","Unreleased","Unreleased","Unreleased",""
"Gunman Clive","Hörberg Productions","Hörberg Productions","May 22, 2013","January 3, 2013","December 20, 2012","December 20, 2012",""
"Gunman Clive 2","Hörberg Productions","Hörberg Productions","March 4, 2015","January 29, 2015","January 29, 2015","January 29, 2015",""
"Gunslugs","Engine SoftwareOrangepixel","Engine Software","Unreleased","June 16, 2016","Unreleased","June 16, 2016",""
"Gunslugs 2","Engine SoftwareOrangepixel","Engine Software","Unreleased","October 22, 2015","Unreleased","October 22, 2015",""
"Guruguru Tamagotchi!","Bandai Namco Games","Bandai Namco Games","April 24, 2014","Unreleased","Unreleased","Unreleased",""
"Gurumin 3D: A Monstrous Adventure","Nihon Falcom Corporation","Mastiff","November 30, 2016","October 13, 2016","Unreleased","October 27, 2016",""
"Haikyu!! Tsunage! Itadaki no Keshiki!!","Bandai Namco Games","Bandai Namco Games","September 25, 2014","Unreleased","Unreleased","Unreleased",""
"Hakuōki: Memories of the Shinsengumi","Idea Factory","Aksys Games","November 24, 2011","September 24, 2013","Unreleased","November 8, 2013",""
"Halloween Night Archery","Petite Games","Petite Games","Unreleased","October 26, 2017","Unreleased","October 26, 2017",""
"Halloween: Trick or Treat 2","Virtual Playground","Microvalue","Unreleased","October 3, 2013","Unreleased","October 31, 2013",""
"Hamatora: Look At Smoking World","FuRyu","FuRyu","July 17, 2014","Unreleased","Unreleased","Unreleased",""
"Hands On! Tangrams","Enjoy Gaming","Enjoy Gaming","Unreleased","November 21, 2013","Unreleased","Unreleased",""
"Hanafuda 3D","Arc System Works","Arc System Works","November 14, 2012","Unreleased","Unreleased","Unreleased",""
"The Hand of Panda","Ninja Playground","RedZone Studios","Unreleased","March 3, 2016","Unreleased","Unreleased",""
"Happy Circus","Moving Player","Moving Player","Unreleased","October 3, 2013","Unreleased","September 26, 2013",""
"Happy Feet Two","WayForward Technologies","Warner Bros. Interactive Entertainment","Unreleased","November 8, 2011","December 8, 2011","November 11, 2011",""
"HarmoKnight","Game Freak","Nintendo","September 5, 2012","March 28, 2013","March 28, 2013","March 28, 2013",""
"Harold Reborn","Lukewasthefish","Luke Vincent","Unreleased","May 13, 2021","Unreleased","Unreleased",""
"Harold's Walk","Lukewasthefish","Luke Vincent","Unreleased","December 28, 2020","Unreleased","October 28, 2021",""
"Harvest Moon: A New Beginning","Marvelous AQL","Natsume","February 23, 2012","October 9, 2012","November 14, 2013","September 20, 2013",""
"Harvest Moon: The Lost Valley","Tabot","Natsume","Unreleased","November 4, 2014","June 20, 2013","June 19, 2015",""
"Harvest Moon: Skytree Village","Natsume","Natsume","Unreleased","November 8, 2016","May 30, 2017","June 2, 2017",""
"Harvest Moon: The Tale of Two Towns","Marvelous Entertainment","Natsume","Unreleased","November 1, 2011","July 5, 2012","July 29, 2012",""
"Harvest Moon: The Tale of Two Towns+","Marvelous","Marvelous AQL","December 14, 2017","Unreleased","Unreleased","Unreleased",""
"Hatsune Miku and Future Stars: Project Mirai","Sega","Sega","March 8, 2012","Unreleased","Unreleased","Unreleased",""
"Hatsune Miku: Project Mirai 2","Sega","Sega","October 3, 2013","September 8, 2015","September 10, 2015","September 11, 2015",""
"Hayate no Usagi Maru: Megumi no Tama to Fū Ma no Shirushi","FK Digital","Arc System Works","October 10, 2012","Unreleased","Unreleased","Unreleased",""
"Hazumi","EyeCancer","Gamelion Studios","January 14, 2015","August 27, 2015","Unreleased","January 22, 2015",""
"Heart Beaten","Springloaded","Springloaded","Unreleased","April 30, 2015","Unreleased","April 16, 2015",""
"Heathcliff: Spot On","Enjoy Gaming","Enjoy Gaming","Unreleased","November 28, 2013","Unreleased","Unreleased",""
"Heavy Fire: Black Arms 3D","Teyon","Teyon","Unreleased","August 15, 2013","Unreleased","August 15, 2013",""
"Heavy Fire: Special Operations 3D","Teyon","Teyon","Unreleased","September 13, 2012","Unreleased","October 25, 2012",""
"Heavy Fire: The Chosen Few","Teyon","Mastiff","June 14, 2012","December 19, 2011","Unreleased","July 19, 2013",""
"Hello Kitty & Friends: Rock n' World Tour","Bergsala Lightweight","EU: Rising Star GamesWW: Bergsala Lightweight","July 16, 2015","Unreleased","November 26, 2015","November 13, 2015",""
"Hello Kitty Picnic with Sanrio & Friends","Chaotic Moon Studios","Majesco Entertainment","Unreleased","October 30, 2012","Unreleased","April 26, 2013",""
"Hello Kitty's Magic Apron","Examu","Bergsala Lightweight","December 12, 2013","January 28, 2016","November 26, 2015","November 6, 2015",""
"Hello Kitty and Sanrio Friends 3D Racing","Majesco Entertainment","Majesco Entertainment","March 23, 2016","November 11, 2014","November 26, 2014","February 27, 2015",""
"Hero Bank","Sega","Sega","March 20, 2014","Unreleased","Unreleased","Unreleased",""
"Hero Bank 2","Sega","Sega","November 27, 2014","Unreleased","Unreleased","Unreleased",""
"Heroes of Ruin","n-Space","Square Enix","Unreleased","July 17, 2012","June 21, 2012","June 15, 2012",""
"Hey! Pikmin","Arzest","Nintendo","July 13, 2017","July 28, 2017","July 29, 2017","July 28, 2017",""
"Heyawake by Nikoli","Nikoli","Hamster Corporation","September 14, 2011","September 6, 2012","Unreleased","Unreleased",""
"HeyBot! HeyboHeybo! HeyBoTournament!","Bandai Namco Games","Bandai Namco Games","September 14, 2016","Unreleased","Unreleased","Unreleased",""
"The Hidden","1st Playable Productions","Majesco Entertainment","Unreleased","November 3, 2011","Unreleased","Unreleased",""
"Hidden Expedition: Titanic","Big Fish Games","Big Fish Games","Unreleased","June 26, 2014","May 8, 2014","November 26, 2013",""
"Hidden Haunts: Gothic Masquerade","Teyon","Selectsoft","Unreleased","August 14, 2014","Unreleased","Unreleased",""
"Hideaways: Foggy Valley","Teyon","Selectsoft","Unreleased","September 12, 2014","Unreleased","Unreleased",""
"Hiding Out","Green Lightning","Green Lightning","Unreleased","November 6, 2017","Unreleased","November 6, 2017",""
"Higanbana no Saku Yoru ni","FuRyu","FuRyu","July 27, 2016","Unreleased","Unreleased","Unreleased",""
"High School DxD","Kadokawa Games","Kadokawa Games","December 19, 2013","Unreleased","Unreleased","Unreleased",""
"Himouto! Umaru-chan Dara to Puzzle","FuRyu","FuRyu","March 15, 2017","Unreleased","Unreleased","Unreleased",""
"Hit Ninja","Petite Games","Petite Games","Unreleased","December 22, 2016","Unreleased","February 9, 2017",""
"Hitori by Nikoli","Nikoli","Hamster Corporation","October 26, 2011","September 27, 2012","Unreleased","Unreleased",""
"Hollywood Fame: Hidden Object Adventure","Most Wanted Entertainment","Bigben Interactive","Unreleased","March 5, 2015","Unreleased","February 28, 2014",""
"Hometown Story","ToyBox","EU: Rising Star GamesWW: Natsume","December 12, 2013","October 31, 2013","July 24, 2014","May 2, 2014",""
"Hooked on Bass Fishing","Mechanic Arms","Gamebridge","Unreleased","December 5, 2013","Unreleased","Unreleased",""
"Horrid Henry: The Good, the Bad and the Bugly","Asylum Entertainment","Asylum Entertainment","Unreleased","Unreleased","Unreleased","November 25, 2011",""
"Horror Stories","RandomSpin","RandomSpin","Unreleased","March 21, 2019","Unreleased","March 21, 2019",""
"Horse Life 4","Ravenscourt","NA: Independent Arts SoftwareEU: Koch Media","Unreleased","November 12, 2015","Unreleased","November 13, 2015",""
"Horse Vet 3D","Independent Arts","Treva Entertainment","Unreleased","September 18, 2014","Unreleased","November 27, 2014",""
"Horses 3D","Neko Entertainment","Ubisoft","Unreleased","March 27, 2012","Unreleased","Unreleased",""
"Hot Wheels: World's Best Driver","Firebrand Games","Warner Bros. Interactive EntertainmentMattel Games","Unreleased","September 17, 2013","October 9, 2013","September 20, 2013",""
"Hotel Transylvania","WayForward Technologies","GameMill Entertainment","Unreleased","September 25, 2012","Unreleased","November 9, 2012",""
"The House in Fata Morgana","FuRyu","FuRyu","July 27, 2016","Unreleased","Unreleased","Unreleased",""
"How to Train Your Dragon 2","Torus Games","Little Orbit","Unreleased","June 10, 2014","June 12, 2014","June 13, 2014",""
"Hungry Burger","Arc System Works","Arc System Works","September 5, 2012","Unreleased","Unreleased","Unreleased",""
"Hyperlight EX","CatfishBlues Games","CatfishBlues Games","Unreleased","December 1, 2016","Unreleased","December 1, 2016",""
"Hyper Paddle Block Rusher","Silver Star","Silver Star","August 22, 2012","Unreleased","Unreleased","Unreleased",""
"Hyrule Warriors Legends","Koei Tecmo Games","Nintendo","January 21, 2016","March 25, 2016","March 24, 2016","March 24, 2016",""
"I am an Air Traffic controller Airport Hero Hawaii","Sonic Powered","Sonic Powered","August 23, 2012","March 27, 2014","Unreleased","June 8, 2017",""
"I am an Air Traffic controller Airport Hero Narita","Sonic Powered","Sonic Powered","December 25, 2014","July 16, 2015","Unreleased","May 25, 2017",""
"I am an Air Traffic controller Airport Hero Osaka-Kix","Sonic Powered","Sonic Powered","September 4, 2014","June 15, 2017","Unreleased","July 6, 2017",""
"I Love my Cats","Neopica","Bigben Interactive","Unreleased","July 23, 2015","Unreleased","July 23, 2015",""
"I Love my Dogs","Neopica","Bigben Interactive","Unreleased","July 16, 2015","Unreleased","July 16, 2015",""
"I Love my Horse","Neopica","Bigben Interactive","Unreleased","December 18, 2014","Unreleased","November 6, 2014",""
"I Love my Little Boy","Neopica","Bigben Interactive","Unreleased","December 11, 2014","Unreleased","Unreleased",""
"I Love my Little Girl","Neopica","Bigben Interactive","Unreleased","December 11, 2014","Unreleased","Unreleased",""
"I Love my Pets","Neopica","Bigben Interactive","Unreleased","Unreleased","Unreleased","July 25, 2013",""
"I Love my Pony","Neopica","Bigben Interactive","Unreleased","November 19, 2015","Unreleased","November 20, 2015",""
"I've Got to Run: Complete Edition","4 Corner Games","4 Corner Games","Unreleased","November 13, 2014","Unreleased","Unreleased",""
"Ice Age: Continental Drift – Arctic Games","Behaviour Interactive","Activision","Unreleased","July 10, 2012","Unreleased","July 10, 2012",""
"Ice Station Z","Wobbly Tooth","Wobbly Tooth","April 5, 2017","November 3, 2016","Unreleased","November 3, 2016",""
"I.F.O","T&E Soft","Turtle Cream","Unreleased","June 28, 2018","Unreleased","June 28, 2018",""
"Idol Time PriPara: Yume All-Star Live!","Takara Tomy","Takara Tomy","October 26, 2017","Unreleased","Unreleased","Unreleased",""
"Ikachan","Daisuke Amaya","Nicalis","November 30, 2016","January 31, 2013","Unreleased","Unreleased",""
"Ikki Tousen Smash Heroes","Tom Create","Tom Create","June 6, 2012","Unreleased","Unreleased","Unreleased",""
"Illvelo Dillinjah","Klon","Klon","October 3, 2018","Unreleased","Unreleased","Unreleased",""
"Imagine: Babyz","Ubisoft Milan","Ubisoft","Unreleased","October 9, 2012","October 25, 2012","October 26, 2012",""
"Imagine: Championship Rider 3D","Ubisoft Milan","Ubisoft","Unreleased","Unreleased","February 14, 2013","February 14, 2013",""
"Imagine: Fashion Designer","Ubisoft Milan","Ubisoft","April 19, 2012","October 11, 2011","November 24, 2011","November 25, 2011",""
"Imagine: Fashion Life","Ubisoft Milan","Ubisoft","Unreleased","October 23, 2012","October 26, 2012","October 26, 2012",""
"Imomushi Wars","Starsign","Starsign","September 12, 2018","Unreleased","Unreleased","Unreleased",""
"Inazuma Eleven","Level-5","Nintendo","July 20, 2018","February 13, 2014","Unreleased","Unreleased",""
"Inazuma Eleven 1, 2, 3!! The Legend of Mamoru Endou","Level-5","Nintendo","December 27, 2012","Unreleased","Unreleased","Unreleased",""
"Inazuma Eleven 3: Bomb Blast","Level-5","Nintendo","Unreleased","Unreleased","Unreleased","September 27, 2013",""
"Inazuma Eleven 3: Lightning Bolt","Level-5","Nintendo","Unreleased","Unreleased","Unreleased","September 27, 2013",""
"Inazuma Eleven 3: Team Ogre Attacks!","Level-5","Nintendo","Unreleased","Unreleased","Unreleased","February 14, 2014",""
"Inazuma Eleven Everyday","Level-5","Nintendo","December 20, 2012","Unreleased","Unreleased","Unreleased",""
"Inazuma Eleven GO Chrono Stones: Thunderflash","Level-5","JP: Level-5WW: Nintendo","December 13, 2012","Unreleased","Unreleased","March 27, 2015",""
"Inazuma Eleven GO Chrono Stones: Wildfire","Level-5","JP: Level-5WW: Nintendo","December 13, 2012","Unreleased","Unreleased","March 27, 2015",""
"Inazuma Eleven GO 3: Galaxy – Big Bang","Level-5","JP: Level-5WW: Nintendo","December 5, 2013","Unreleased","Unreleased","Unreleased",""
"Inazuma Eleven GO 3: Galaxy – Supernova","Level-5","JP: Level-5WW: Nintendo","December 5, 2013","Unreleased","Unreleased","Unreleased",""
"Inazuma Eleven GO: Light","Level-5","JP: Level-5WW: Nintendo","December 15, 2011","Unreleased","July 18, 2015","June 13, 2014",""
"Inazuma Eleven GO: Shadow","Level-5","JP: Level-5WW: Nintendo","December 15, 2011","Unreleased","July 18, 2015","June 13, 2014",""
"Infinite Dunamis","Kemco","Kemco","March 2, 2016","May 26, 2016","Unreleased","May 26, 2016",""
"Infinite Golf","Petite Games","Petite Games","Unreleased","May 4, 2017","Unreleased","July 20, 2017",""
"Insect Planet TD","RandomSpin","RandomSpin","Unreleased","October 25, 2018","Unreleased","November 15, 2018",""
"IronFall: Invasion","VD-Dev","VD-Dev","October 28, 2015","February 26, 2015","February 13, 2015","February 13, 2015",""
"Jack And Jane: Jungle Escape","Denvzla Estudio","Denvzla Estudio","Unreleased","June 25, 2020","Unreleased","Unreleased",""
"Jake Hunter Detective Story: Ghost of the Dusk","Arc System Works","Arc System Works","August 31, 2017","September 28, 2018","Unreleased","September 28, 2018",""
"James Noir's Hollywood Crimes","Ubisoft Montreal","Ubisoft","Unreleased","November 1, 2011","November 24, 2011","November 25, 2011",""
"Japanese Rail Sim 3D: 5 Types of Trains","Sonic Powered","Sonic Powered","September 1, 2016","November 22, 2018","Unreleased","November 22, 2018",""
"Japanese Rail Sim 3D: Journey in Suburbs #1 Vol. 2","Sonic Powered","Sonic Powered","Unreleased","March 24, 2016","Unreleased","Unreleased",""
"Japanese Rail Sim 3D: Journey in Suburbs #1 Vol. 3","Sonic Powered","Sonic Powered","Unreleased","March 24, 2016","Unreleased","Unreleased",""
"Japanese Rail Sim 3D: Journey in Suburbs #1 Vol. 4","Sonic Powered","Sonic Powered","Unreleased","March 24, 2016","Unreleased","Unreleased",""
"Japanese Rail Sim 3D: Journey in Suburbs #2","Sonic Powered","Sonic Powered","August 21, 2014","March 16, 2017","Unreleased","Unreleased",""
"Japanese Rail Sim 3D: Journey to Kyoto","Sonic Powered","Sonic Powered","October 23, 2014","August 6, 2015","Unreleased","December 24, 2015",""
"Japanese Rail Sim 3D: Monorail Trip to Okinawa","Sonic Powered","Sonic Powered","August 25, 2016","August 25, 2016","Unreleased","December 22, 2016",""
"Japanese Rail Sim 3D: Travel of Steam","Sonic Powered","Sonic Powered","Unreleased","December 7, 2017","Unreleased","December 7, 2017",""
"Jaws: Ultimate Predator","n-Space","Majesco Entertainment","Unreleased","December 1, 2011","Unreleased","Unreleased",""
"Jett Rocket II: The Wrath of Taikai","Shin'en Multimedia","Shin'en Multimedia","February 5, 2014","November 13, 2013","Unreleased","November 13, 2013",""
"Jewel Master Atlantis 3D","Cerasus Media","Cerasus Media","September 19, 2013","Unreleased","Unreleased","March 14, 2013",""
"Jewel Master: Cradle of Egypt 2 3D","Cerasus Media","Rising Star Games","Unreleased","October 17, 2013","September 26, 2013","October 12, 2012",""
"Jewel Master: Cradle of Rome 2 3D","Cerasus Media","Rising Star Games","Unreleased","June 26, 2012","April 26, 2012","April 27, 2012",""
"Jewel Quest 4 Heritage","Engine Software","MSL","Unreleased","August 6, 2015","Unreleased","August 15, 2013",""
"Jewelpet: Cooking at the Magical Cafe!","FuRyu","FuRyu","November 14, 2013","Unreleased","Unreleased","Unreleased",""
"Jewelpet: Magical Dance in Style Deco!","FuRyu","FuRyu","November 8, 2012","Unreleased","Unreleased","Unreleased",""
"Jewelpet: Magical Rhythm Yay!","RCMADIAX","RCMADIAX","November 10, 2011","Unreleased","Unreleased","Unreleased",""
"Johnny Dynamite","TwoFiveSix","NA: Enjoy GamingWW: Starsign","May 13, 2015","May 7, 2015","Unreleased","December 15, 2016",""
"Johnny Hotshot","UFO Interactive Games","UFO Interactive Games","Unreleased","November 8, 2012","Unreleased","November 15, 2012",""
"Johnny Impossible","UFO Interactive Games","UFO Interactive Games","Unreleased","December 27, 2012","Unreleased","Unreleased",""
"Johnny Kung Fu","UFO Interactive Games","JP: CyberfrontWW: UFO Interactive Games","December 12, 2012","July 12, 2012","Unreleased","August 2, 2012",""
"Johnny's Payday Panic","Office Create","Office Create","May 20, 2015","November 12, 2015","Unreleased","November 19, 2015",""
"Journey to Kreisia","Kemco","Kemco","June 1, 2016","July 14, 2016","Unreleased","July 14, 2016",""
"Junior Classic Games 3D","Maximum Games","Maximum Games","Unreleased","November 27, 2012","January 24, 2013","May 8, 2012",""
"Justice Chronicles","Kemco","Kemco","October 13, 2016","March 31, 2016","Unreleased","March 31, 2016",""
"Kakuro by Nikoli","Nikoli","Hamster Corporation","August 3, 2011","May 31, 2012","Unreleased","Unreleased",""
"Kami","Circle Entertainment","Circle Entertainment","February 18, 2015","February 5, 2015","Unreleased","May 19, 2016",""
"Kamiwaza Wanda: Kirakira Ichibangai Kikiippatsu","FuRyu","FuRyu","October 27, 2016","Unreleased","Unreleased","Unreleased",""
"Kanbutsu Himouto! Umaru-chan Daratto Puzzle","FuRyu","FuRyu","March 15, 2017","Unreleased","Unreleased","Unreleased",""
"Karous: The Beast of Re:Eden","Klon","Circle Entertainment","February 6, 2019","April 30, 2015","Unreleased","July 2, 2015",""
"Kawaii Pet to Kurasou! Wan Nyan & Idol Animal","Nippon Columbia","Nippon Columbia","April 5, 2018","Unreleased","Unreleased","Unreleased",""
"Kawaii Pet to Kurasou! Wan Nyan & Mini Mini Animal","Nippon Columbia","Nippon Columbia","April 6, 2017","Unreleased","Unreleased","Unreleased",""
"Keep","Cinemax, s.r.o.","JP: Arc System WorksWW: Cinemax","January 28, 2015","September 10, 2014","Unreleased","September 18, 2014",""
"Kemonomix Plus","Rocket Studio","Rocket Studio","August 29, 2012","November 6, 2014","Unreleased","Unreleased",""
"Kersploosh!","Poisoft","JP: PoisoftWW: Nintendo","June 7, 2011","March 7, 2013","February 28, 2013","February 28, 2013",""
"Ketzal's Corridors","Keys Factory","Nintendo","October 21, 2011","April 12, 2012","April 5, 2012","April 5, 2012",""
"Kid Icarus: Uprising","Project SoraSora Ltd.","Nintendo","March 22, 2012","March 23, 2012","March 29, 2012","March 23, 2012",""
"Kid Tripp","Four Horses","JP: Rainy FrogWW: Four Horses","August 30, 2017","July 27, 2017","Unreleased","July 27, 2017",""
"Kingdom Hearts 3D: Dream Drop Distance","Square Enix","Square Enix","March 29, 2012","July 31, 2012","July 26, 2012","July 20, 2012",""
"Kingdom's Item Shop","AsoboxPumo","Circle Entertainment","October 22, 2014","August 18, 2016","Unreleased","September 8, 2016",""
"Kirby Battle Royale","HAL Laboratory","Nintendo","November 30, 2017","January 19, 2018","November 4, 2017","November 3, 2017",""
"Kirby Fighters Deluxe","HAL Laboratory","Nintendo","July 23, 2015","August 29, 2014","February 13, 2015","February 13, 2015",""
"Kirby: Planet Robobot","HAL Laboratory","Nintendo","April 28, 2016","June 10, 2016","June 11, 2016","June 10, 2016",""
"Kirby: Triple Deluxe","HAL Laboratory","Nintendo","January 11, 2014","May 2, 2014","May 17, 2014","May 16, 2014",""
"Kirby's Blowout Blast","HAL Laboratory","Nintendo","July 4, 2017","July 6, 2017","July 6, 2017","July 6, 2017",""
"Kirby's Extra Epic Yarn","Good-Feel","Nintendo","March 7, 2019","March 8, 2019","March 9, 2019","March 8, 2019",""
"Kobayashi ga Kawai Sugite Tsurai!!","Happinet","Happinet","August 27, 2015","Unreleased","Unreleased","Unreleased",""
"Kokuga","G.rev","G.rev","August 27, 2012","June 27, 2013","Unreleased","July 11, 2013",""
"Kumamon Bomber: Puzzle de Kumamon Taisou","Rocket Company","Imagineer","March 13, 2014","Unreleased","Unreleased","Unreleased",""
"Kung Fu Fight","Nostatic Software","Nostatic Software","Unreleased","March 30, 2017","Unreleased","March 16, 2017",""
"Kung Fu Panda: Showdown of Legendary Legends","Vicious Cycle Software","Little Orbit","Unreleased","December 1, 2015","November 26, 2015","November 27, 2015",""
"Kung Fu Rabbit","Neko Entertainment","JP: CosenWW: Neko Entertainment","October 8, 2014","February 20, 2014","Unreleased","February 20, 2014",""
"Kung Tutu","Famous Gamous","Famous Gamous","Unreleased","November 12, 2020","Unreleased","Unreleased",""
"Kunio-kun Nekketsu Complete: Famicom Hen","Arc System Works","Arc System Works","December 8, 2016","Unreleased","Unreleased","Unreleased",""
"Kutar Apple","Flyhigh Works","Circle Entertainment","August 3, 2016","November 10, 2016","Unreleased","December 15, 2016",""
"Kutar Burger Factory","Flyhigh Works","Circle Entertainment","August 3, 2016","November 10, 2016","Unreleased","December 15, 2016",""
"Kutar Concert Staff","Flyhigh Works","Circle Entertainment","August 3, 2016","November 10, 2016","Unreleased","December 15, 2016",""
"Kutar End Credits","Flyhigh Works","Circle Entertainment","August 3, 2016","November 10, 2016","Unreleased","December 15, 2016",""
"Kutar Jump Rope","Flyhigh Works","Circle Entertainment","August 3, 2016","November 10, 2016","Unreleased","December 15, 2016",""
