"Aqua Moto Racing 3D","Zordix","Zordix","August 27, 2013","October 10, 2013","Unreleased","June 27, 2013",""
"Arc Style: Baseball 3D","Arc System Works","Arc System Works","July 11, 2012","May 15, 2014","Unreleased","October 30, 2014",""
"Arc Style: Free Cell","Arc System Works","Arc System Works","May 30, 2012","Unreleased","Unreleased","Unreleased",""
"Arc Style: Happy Ocean","Arc System Works","Arc System Works","March 6, 2013","Unreleased","Unreleased","Unreleased",""
"Arc Style: Jazzy Billiards 3D Professional","Arc System Works","Arc System Works","August 10, 2011","Unreleased","Unreleased","Unreleased",""
"Arc Style: Sangokushi Pinball","Arc System Works","Arc System Works","April 25, 2012","Unreleased","Unreleased","Unreleased",""
"Arc Style: Simple Mahjong 3D","Arc System Works","Arc System Works","November 30, 2011","Unreleased","Unreleased","Unreleased",""
"Arc Style: Soccer 3D","Arc System Works","Arc System Works","June 7, 2011","March 29, 2012","Unreleased","August 22, 2013",""
"Arc Style: Solitaire","Arc System Works","Arc System Works","October 19, 2014","January 30, 2014","Unreleased","Unreleased",""
"Arc Style: Spider Solitaire","Arc System Works","Arc System Works","January 25, 2012","Unreleased","Unreleased","Unreleased",""
"Arc Style: Women's Football 3D","Arc System Works","Arc System Works","July 25, 2012","Unreleased","Unreleased","Unreleased",""
"Arcade Classics 3D","Enjoy Gaming","Enjoy Gaming","Unreleased","October 31, 2013","Unreleased","November 7, 2013",""
"Art Academy: Lessons for Everyone!","Headstrong Games","Nintendo","September 13, 2012","October 1, 2012","August 23, 2012","July 28, 2012",""
"Art of Balance Touch!","Shin'en Multimedia","JP: Arc System WorksWW: Shin'en Multimedia","April 24, 2013","June 7, 2012","May 24, 2012","May 24, 2012",""
"Ascent of Kings","Nostatic Software","Nostatic Software","Unreleased","April 13, 2017","Unreleased","April 27, 2017",""
"Asdivine Cross","Exe Create","Kemco","June 14, 2017","July 13, 2017","Unreleased","July 13, 2017",""
"Ash","OverTuneSRRN Games","Circle Entertainment","Unreleased","April 28, 2016","Unreleased","October 13, 2016",""
"Asphalt 3D","GameloftKonami","JP: KonamiWW: Ubisoft","March 10, 2011","March 27, 2011","March 31, 2011","March 25, 2011",""
"Assassination Classroom: Assassin Training Plan","Bandai Namco Games","Bandai Namco Games","March 24, 2016","Unreleased","Unreleased","Unreleased",""
"Assassination Classroom: Grand Siege on Koro-sensei","Bandai Namco Games","Bandai Namco Games","March 12, 2015","Unreleased","Unreleased","Unreleased",""
